city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Zuidwolde,52.6746,6.4247,Netherlands,NL,Drenthe,minor,,
Emmeloord,52.7100,5.7512,Netherlands,NL,Flevoland,minor,,
Slochteren,53.2183,6.8103,Netherlands,NL,Groningen,minor,,
Alphen,51.4830,4.9562,Netherlands,NL,Noord-Brabant,minor,,
Beilen,52.8607,6.5152,Netherlands,NL,Drenthe,minor,,
Ommen,52.5202,6.4266,Netherlands,NL,Overijssel,minor,,
Wissenkerke,51.5855,3.7472,Netherlands,NL,Zeeland,minor,,
Gieten,53.0066,6.7643,Netherlands,NL,Drenthe,minor,,
Exloo,52.8802,6.8611,Netherlands,NL,Drenthe,minor,,
Loppersum,53.3315,6.7461,Netherlands,NL,Groningen,minor,,
Rozendaal,52.0074,5.9654,Netherlands,NL,Gelderland,minor,,
Ferwert,53.3385,5.8291,Netherlands,NL,Fryslân,minor,,
Zeewolde,52.3302,5.5364,Netherlands,NL,Flevoland,minor,,
Oostburg,51.3282,3.5008,Netherlands,NL,Zeeland,minor,,
Uithuizen,53.4083,6.6709,Netherlands,NL,Groningen,minor,,
Stompetoren,52.6153,4.8228,Netherlands,NL,Noord-Holland,minor,,
Den Burg,53.0562,4.7967,Netherlands,NL,Noord-Holland,minor,,
Wommels,53.1100,5.5927,Netherlands,NL,Fryslân,minor,,
Sellingen,52.9445,7.1520,Netherlands,NL,Groningen,minor,,
Diever,52.8570,6.3185,Netherlands,NL,Drenthe,minor,,
Wedde,53.0690,7.0732,Netherlands,NL,Groningen,minor,,
Leens,53.3607,6.3834,Netherlands,NL,Groningen,minor,,
Ballum,53.4441,5.6876,Netherlands,NL,Fryslân,minor,,
West-Terschelling,53.3609,5.2147,Netherlands,NL,Fryslân,minor,,
Oost-Vlieland,53.2958,5.0675,Netherlands,NL,Fryslân,minor,,
Schiermonnikoog,53.4803,6.1521,Netherlands,NL,Fryslân,minor,,
